greek	lemma	grammar	isopsephy	roman	root	root_translation	root_isopsephy	primes	root_primes	geometry	root_geometry	occurrences
αποκαλυψις	G602	N-NSF	1512	apokalupsis	αποκαλυψις	disclosure	1512	(2, 3, 7)	(2, 3, 7)	(1069, 2138, 873, 2619, 676, 3381, 617, 3704, 934, 2446, 481, 4750)	(1069, 2138, 873, 2619, 676, 3381, 617, 3704, 934, 2446, 481, 4750)	1:1
ιησου	G2424	N-GSM	688	iēsou	Ιησους	Jesus (i.e. Jehoshua), the name of our Lord and two (three) other Israelites	888	(2, 43)	(2, 3, 37)	(486, 973, 397, 1192, 308, 1538, 281, 1685, 425, 1113, 219, 2161)	(628, 1256, 513, 1538, 397, 1986, 363, 2175, 549, 1437, 283, 2790)	1:1, 1:2, 1:5, 1:9, 12:17, 14:12, 17:6, 19:10, 20:4, 22:20, 22:21
χριστου	G5547	N-GSM	1680	xristou	Χριστος	anointed, i.e. the Messiah, an epithet of Jesus	1480	(2, 3, 5, 7)	(2, 5, 37)	(1188, 2376, 970, 2910, 751, 3757, 686, 4115, 1038, 2718, 535, 5278)	(1047, 2093, 854, 2563, 662, 3309, 604, 3625, 915, 2395, 471, 4650)	1:1, 1:2, 1:5, 1:9, 11:15, 12:10, 12:17, 20:4, 20:6, 22:21
ην	G2258	V-IXI-3S	58	ēn	ην	I (thou, etc.) was (wast or were)	58	(2, 29)	(2, 29)	(41, 82, 33, 100, 26, 130, 24, 142, 36, 94, 18, 182)	(41, 82, 33, 100, 26, 130, 24, 142, 36, 94, 18, 182)	1:1, 1:4, 1:8, 4:1, 4:3, 4:8, 6:9, 9:10, 10:8, 10:10, 11:17, 13:2, 16:5, 17:8, 17:11, 17:18, 21:18, 21:21
εδωκεν	G1325	V-AAI-3S	884	edōken	διδωμι	to give (used in a very wide application, properly, or by implication, literally or figuratively; greatly modified by the connection)	868	(2, 13, 17)	(2, 7, 31)	(625, 1250, 510, 1531, 395, 1977, 361, 2165, 546, 1430, 281, 2777)	(614, 1228, 501, 1503, 388, 1941, 354, 2126, 536, 1404, 276, 2727)	1:1, 13:2, 13:4, 15:7, 17:17, 20:13
θεος	G2316	N-NSM	284	theos	θεος	figuratively, a magistrate; by Hebraism, very	284	(2, 71)	(2, 71)	(201, 402, 164, 492, 127, 635, 116, 696, 176, 460, 90, 892)	(201, 402, 164, 492, 127, 635, 116, 696, 176, 460, 90, 892)	1:1, 4:8, 7:17, 11:17, 15:3, 16:7, 17:17, 18:5, 18:8, 18:20, 19:6, 21:3, 21:4, 21:7, 21:22, 22:5, 22:6, 22:18, 22:19
δειξαι	G1166	V-AAN	90	deicai	δεικνυω	to show (literally or figuratively)	1289	(2, 3, 5)	(1289,)	(64, 127, 52, 156, 40, 201, 37, 220, 56, 146, 29, 283)	(911, 1823, 744, 2233, 576, 2882, 526, 3157, 797, 2086, 410, 4050)	1:1, 22:6
δουλοις	G1401	N-DPM	784	doulois	δουλος	a slave (literal or figurative, involuntary or voluntary; frequently, therefore in a qualified sense of subjection or subserviency)	774	(2, 7)	(2, 3, 43)	(554, 1109, 453, 1358, 351, 1753, 320, 1920, 485, 1269, 250, 2463)	(547, 1095, 447, 1341, 346, 1731, 316, 1896, 478, 1252, 246, 2432)	1:1, 10:7, 11:18, 22:6
α	G1	N-LI	1	a	αν	the first letter of the alphabet; figuratively, only (from its use as a numeral) the first: 	51	(1,)	(3, 17)	(1, 1, 1, 2, 0, 2, 0, 2, 1, 2, 0, 3)	(36, 72, 29, 88, 23, 114, 21, 125, 32, 83, 16, 160)	1:1, 1:4, 1:8, 1:11, 1:19, 2:6, 2:10, 3:2, 3:4, 4:1, 5:13, 9:20, 10:4, 13:14, 17:12, 17:15, 17:16, 21:6, 21:12, 22:6, 22:13
δει	G1163	V-PQI-3S	19	dei	δει	also deon deh-on'; neuter active participle of the same; both used impersonally; it is (was, etc.) necessary (as binding)	19	(19,)	(19,)	(13, 27, 11, 33, 8, 42, 8, 47, 12, 31, 6, 60)	(13, 27, 11, 33, 8, 42, 8, 47, 12, 31, 6, 60)	1:1, 4:1, 10:11, 11:5, 13:10, 17:10, 20:3, 22:6
