lemma	word	translation
G3143	μαρτύρομαι	to be adduced as a witness, i.e. (figuratively) to obtest (in affirmation or exhortation)
G4190	πονηρός	hurtful, i.e. evil (properly, in effect or influence, and thus differing from G2556 (πονηρός), which refers rather to essential character, as well as from G4550 (πονηρός), which indicates degeneracy from original virtue); figuratively, calamitous; also (passively) ill, i.e. diseased; but especially (morally) culpable, i.e. derelict, vicious, facinorous; neuter (singular) mischief, malice, or (plural) guilt; masculine (singular) the devil, or (plural) sinners
G5234	ὑπερβαλλόντως	excessively
G260	ἅμα	properly, at the "same" time, but freely used as a preposition or adverb denoting close association
G4307	πρόνοια	forethought, i.e. provident care or supply
G3161	Ματταθίας	Mattathias (i.e. Mattithjah), an Israelite and a Christian
G2867	κονιάω	by analogy, lime); to whitewash
G1483	ἐθνικῶς	as a Gentile
G498	ἀντιτάσσομαι	to range oneself against, i.e. oppose
G683	ἀπώθομαι	to push off, figuratively, to reject
G3321	μεσουράνημα	mid-sky
G2228	ἤ	disjunctive, or; comparative, than
G395	ἀνατολή	a rising of light, i.e. dawn (figuratively); by implication, the east (also in plural)
G4832	σύμμορφος	jointly formed, i.e. (figuratively) similar
G2779	κῆπος	a garden
G991	βλέπω	to look at (literally or figuratively)
G4259	προαύλιον	a forecourt, i.e. vestibule (alley-way)
G1698	ἐμοί	to me
G698	Ἀρεοπαγίτης	an Areopagite or member of the court held on Mars' Hill
G943	βάτος	a bath, or measure for liquids
G295	Ἀμφίπολις	a city surrounded by a river; Amphipolis, a place in Macedonia
G4323	προσανατίθημι	to lay up in addition, i.e. (middle voice and figuratively) to impart or (by implication) to consult
G2857	Κολοσσαί	Colossæ, a place in Asia Minor
G270	ἀμάω	properly, to collect, i.e. (by implication) reap
G269	ἄμαχος	peaceable
G3168	μεγαλειότης	superbness, i.e. glory or splendor
G503	ἀντοφθαλμέω	to face
G4320	προσαναβαίνω	to ascend farther, i.e. be promoted (take an upper (more honorable) seat)
G5534	χρή	it needs (must or should) be
G3843	πάντως	entirely; specially, at all events, (with negative, following) in no event
G2221	ζωγρέω	to take alive (make a prisoner of war), i.e. (figuratively) to capture or ensnare
